,Aaron,Acts 7:40,eb0d,"man: voice: mouth,said,speak,confession: ear,hear"
,Abaddon,Rev 9:11,ecd7,"Man: kill,destroy,destruction: knife,cut: very: person"
,Abarim,Num 27:12,e38b,"Through,pass: thing: forward,to: mountain"
,Abda,1 Kings 4:6,e7e3,man: slave: thing: person
,Abdi,1 Chr 6:44,e698,"man: godly,righteous_person,saint: person: righteous,righteousness: good: work,do"
,Abdiel,1 Chr 16:32,e626,"man: good: servant,deacon: person: love,compassion: work.do"
,Abdon_man,Judg 12:13,e51c,man: or: soft
,Abdon_village,Josh 21:30,e605,"serve: love,compassion: work,do: good: village: many,much: neighbor: house: near,close"
,Abeizer,Judg 8:2,e557,"save,rescue: very: help: straight: people: land,ground,earth,space"
,Abel,Gen 25:4,ea96,man: good
,Abel_Beth_Maakah,1 Kgs 15:20,e5cb,"cry: sad,grieve: water,wet: village: many,much: neighbor: house: near,close"
,Abel_Keramim,Judg 11:33,e558,"vine: small,few: up: tree,plant,wood: land,ground,earth,space"
,Abel_Meholah,1 Sam 18:19,e5c3,"dance: walk: happy,joy: face: village: many,much: neighbor: house: near,close"
,Abel_Mizraim,Gen 50:11,efa9,"Sad,grieve: village: many,much: neighbor: house: near,close"
,Abiasaph,Exod 6:24,e2dd,"Man: together_people,gathered_people"
,Abiathar,Mark 2:26,e35f,"man: harvest: hand: grain,wheat"
,Abida,Gen 25:4,eef8,"Man: more: up: many,much: know,knowledge"
,Abidah,Gen 25:4,e2f3,"Man: straight: know,knowledge"
,Abidan,Num 1:11,e1f7,Man: or
,abide,,e17b,"house: alive,life,live: good: heart"
,Abiel,1 Sam 14:51,e7dc,"man: repent,repentance: change,turn: heart"
,Abiezer,Josh 17:2,e464,"man: very: helper,attendant: person: help: straight: people"
,Abigail,1 Sam 25:3,e5c4,"woman: old: no,not: new: happy,joy: face"
,Abihail,Num 3:35,e1f8,"Man: knife,cut: table"
,Abihu,Exod 28:1,e2de,"Man: small,few: old: no,not: new"
,Abihud,1 Chr 8:3,e699,"man: mouth,said,speak,confession: old: no,not: new"
,Abijah_man,Luke 1:5,ea5b,"man: amazed,amazing,great: big: praise,exalt,dignify,worship: mouth,said,speak,confession: good"
,Abijah_woman,2 Kgs 18:2,e613,"woman: king,master,lord,ruler: love,compassion"
,Abilene,Luke 3:1,ec4d,"grass: land,ground,earth,space"
,Abimael,Gen 10:28,e0fb,"Man: no,not: king,master,lord,ruler: love,compassion"
,Abimelech,Gen 26:1,e0ab,"Man: bad: no,not: good: lead,leader,manage: forward,to: person"
,Abinadab,1 Sam 31:2,e4e6,"man: bring,carry,take: hand: thing"
,Abinoam,Judg 5:12,e56b,man: member: house: people
,Abiram,Num 16:1,e480,"man: against: backward: forward,to"
,Abishag,1 kgs 1:3,e4ac,woman: walk
,Abishai,1 Sam 26:9,e6cb,man: very: thing
,Abishua,1 Chr 6:4,e69a,"man: old: no,not: new: people"
,Abishur,1 Chron 2:28,e753,"man: wall: divide,split,division,separate: backward: forward,to"
,Abital,1 Chron 3:3,e721,"woman: water,wet: me,I"
,Abitub,1 Chr 8:11,e65f,"man: old: no,not: new: good"
,Abiud,Matt 1:13,ea6a,"man: person: praise,exalt,dignify,worship: mouth,said,speak,confession: good"
,Abner,1 Sam 14:50,e484,"man: cohort,army: soldier: person: war,fight,battle: sword: many,much"
,abomination,,e0a4,"hate,enmity: love,compassion: no,not: thing"
,about,,e11b,thing
,above,,e110,up: thing
,Abraham,Matt 1:1,e373,"man: many,much: man: love,compassion"
,Abram,Gen 12:1,e1d1,"OT: man: man: love,compassion"
,Abronah,Num 33:34,e3d6,"Through,pass: thing: forward,to: above,over: up: land,ground,earth,space"
,Absalom,1 Kgs 1:6,e4ad,"man: no,not: war,fight,battle: sword"
,Abyss,Luke 8:31,ec4e,"no,not: end,finish: land,ground,earth,space"
,according_to,,e24d,"same,equal: mouth,said,speak,confession"
,accuse,1 Cor 4:12,e055,"mouth,said,speak,confession: bad: no,not: good"
,Achaia,Acts 18:12,eb7c,"very: pain,hurt: knife,cut: heart: land,ground,earth,space"
,Achaicus,1 Cor 16:17,eca5,Man: cross: people
,Achan,Josh 22:20,e4f5,"man: dead,death,die: no,not: heart"
,Achim,Matt 1:14,ea6e,"man: plan: know,knowledge: pen,write"
,Achish,1 Sam 21:10,e45e,"man: dust: small,few: part,some: land,ground,earth,space"
,Achor,Josh 15:7,e4cc,"trouble: heart: bad: no,not: good: land,ground,earth,space"
,Adadah,Josh 15:33,e4cd,"testimony,witness: mouth,said,speak,confession: you: village: many,much: neighbor: house: near,close"
,Adah,Gen 4:19,eda7,Woman: good: face
,Adaiah,1 Chr 9:12,e5f4,man: cloud: soft: thing: thing
,Adam_man,Gen 2:17,ec4f,"man: dirt,soil,ground_soil: land,ground,earth,space"
,Adam_village,Josh 3:16,e4f6,"dirt,ground_soil,soil: land,ground,earth,space: village: many,much: neighbor: house: near,close"
,Adamah,Josh 19:36 Josh 19:36,e5a1,"farm: grain,wheat: land,ground,earth,space: village: many,much: neighbor: house: near,close"
,Adami_Nekeb,Josh 19:33,e5b1,"red: blood: hand: water,wet: color: dirt,soil,ground_soil: land,ground,earth,space: village: many,much: neighbor: house: near,close"
,Adbeel,Gen 25:13,e0fe,"Man: no,not: cry: sad,grieve: water,wet"
,Addar,Josh 15:3 Num 34:4,e4ce,"threshing_floor: divorce: house: divide,division,separate,split: grain,wheat: village: many,much: neighbor: house: near,close"
,Addi,Luke 3:28,ec50,"man: mouth,speak,said,confession: me,I"
,Addumim,Josh 15:7,e4cf,"color: land,ground,earth,space"
,Adiel,1 Chr 9:12,e5f5,"man: many,much: no,not: fire,heat,hot"
,Adithaim,Josh 15:26,e4d0,"very: up: village: many,much: neighbor: house: near,close"
,Admah,Gen 10:19,eda8,"Red: blood: hand: water,wet: color: village: many,much: neighbor: house: near,close"
,Admin,Luke 3:33,ec51,"man: arise,ascend: up: straight"
,Adnah,2 Chron 17:14,e782,"man: happy,joy: face: start,beginning"
,Adoni_Zedek,Josh 10:1,e427,"man: correct,yes: good: work,do"
,Adonijah,1 kgs 1:5,e4ae,"man: greed: eye,see: desire,like,want,will: love,compassion: heart"
,Adoniram,1 Kings 4:6,e7e4,"man: elder: old: no,not: new: lead,leader,manage: forward,to: person"
,adopt,,e177,"house: love,compassion: small,few"
,Adoraim,2 Chron 11:9,e74f,"two: big: village: many,much: neighbor: house: near,close"
,Adrammelek,2 Kgs 17:31,e6a2,"man: person: clothing,fabric"
,Adramyttium,Acts 27:2,eb93,"run: walk: very : village: many,much: neighbor: house: near,close"
,Adriatic_Sea,Acts 27:27,ec17,"ocean,sea: big: water,wet: no,not: tree,plant,wood"
,Adriel,1 Sam 18:19,e5c5,man: big: sheep: soft
,Adullam,Gen 38:1,efaa,"story,parable,report,message,news: book,read,learn: mouth,said,speak,confession: village: many,much: neighbor: house: near,close"
,adultery,,e027,"love,compassion: bad: no,not: good: eye,see"
,Aeneas,Acts 9:33,ec2a,"man: good: crooked: no,not: straight"
,Aenon,John 3:23,eba1,"man: water,wet: go,travel,trip,journey"
,afraid,,e056,"mouth,said,speak,confession: heart"
,after,,e11d,"thing: forward,to"
,Agabus,Acts 11:28,eb89,man: insect
,Agag,Num 24:27,e3e0,"Man: cold: no,not: fire,heat,hot"
,against,,e330,"forward,to: backward"
,Agrippa,Acts 25:13,eb9d,"man: pain,hurt: knife,cut: heart"
,Agur,Pro 30:1,e6c8,"man: no,not: shepherd: sheep: soft: person"
,Ahab,Mic 6:16,e60d,"man: love,compassion: near,close: same,equal"
,Aharhel,1 Chron 4:8,e722,man: last: end
,Ahasuerus,Esth 1:1,e48f,"man: division,divide,separate,split: knife,cut"
,Ahaz,Matt 1:9,ea61,"man: hand: bad: no,not,: good"
,Ahaziah,2 Kgs 1:2,e614,"man: shake: eye,see"
,Ahban,1 Chron 2:29,e754,
,Ahi,1 Chr 5:15,e627,man: people
,Ahian,1 Chron 7:19,e757,"man: children: small,few: people"
,Ahiezer,Num 1:12,e2ab,"Man: same,equal: help: straight: people"
,Ahihud,Num 34:27,e3e1,"Man: descendant: future: time,when: forward,to: children: small,few: people"
,Ahijah,1 Kings 4:3,e7e5,"man: everyone: person: all,whole"
,Ahikam,2 Kgs 22:12,e689,
,Ahilud,1 Kings 4:3,e7e6,"man: very: start,beginning"
,Ahimaaz,1 Kings 4:15,e7e7,"man: very: anger,angry"
,Ahiman,Num 13:22,e2ac,"Man: small,few: hand"
,Ahimelech,1 Sam 21:1,e45f,"man; me,I: power,can,ability: big: knife,cut"
,Ahimoth,1 Chr 6:25,e660,"man: same,equal: dead,death,die: no,not: heart"
,Ahinadab,1 Kings 4:14,e7e8,"man: very: true,truth: good: measure"
,Ahinoam,1 Sam 25:43,e7e9,"woman: grace: love,compassion: no,not: knife,cut"
,Ahio,1 Chr 9:37,e5f6,man: color
,Ahira,Num 1:15,e2f4,"Man: big: bad: no,not: good"
,Ahiram,Num 26:38,e3a1,"Man: no,not: down"
,Ahisamak,Exod 31:6,e0bb,"Man: foundation: house: root: land,ground,earth,space"
,Ahishahar,1 Chron 7:10,e758,"man: morning: sun,day: straight"
,Ahitub,1 Sam 14:3,e7dd,
,Ahlab,Judg 1:31,e56c,"mountain: tree,plant,wood: land,ground,earth,space"
,Ahlai,1 Chron 2:31,e759,"man: questioned,ask: mouth,said,speak,confession: questionmark: sad,grieve"
,Ahumai,1 Chron 4:2,e723,"man: water,wet: you"
,Ahuzzam,1 Chron 4:6,e724,"man: together_people,gathered_people, hand"
,Ahuzzath,Gen 26:26,eda9,man: thing
,Ai,Gen 13:3,edaa,"kill,destroy,destruction: knife,cut: person: small,few: village: many,much: neighbor: house: near,close"
,Aiah,Gen 36:24,e0fd,"Man: small,few: rooster: bird: sun,day"
,Aijalon,Josh 10:12,e428,
,Ain,Num 34:11,e3e6,"direction: person: up: water,wet"
,air,,e312,
,Akan,Gen 36:27,efe5,"Man: change,turn"
,Akbor,Gen 36:38,e0ed,"Man: small,few: war,fight,battle: sword"
,Akkad,Gen 10:10,edab,"Chain,bound,imprisoned,arrest: village: many,much: neighbor: house: near,close"
,Akko,Judg 1:31,e56d,"near,close: land,ground,earth space"
,Akkub,1 Chron 3:24,e725,
,Akkum,1 Chr 9:17,e5f7,"man: arrow: throw: knife,cut"
,Akrabbim,Num 34:4,e3d7,"Sharp: knife,cut: land,ground,earth,space"
,Aksah,Josh 15:16,e4d1,"woman: curtain: clothing,fabric: window"
,Akshaph,Josh 12:20,e43b,"immeasurable: no,not: measure: village: many,much: neighbor: house: near,close"
,Akzib,Mic 1:14,e48e,"deceive,deception,false,lead_astray,lie: bad: no,not: true,truth: measure: village: many,much: neighbor: house: near,close"
,alabaster,,e0d4,"money,wealth,wealthy: hard: no,not: soft: thing"
,Alemeth,1 Chr 9:42,e5f8,man: under: thing: .: color
,Alexander,Acts 19:33,ea14,man: shield: person
,Alexandria,Acts 18:24,eb5a,"save,rescue: very: help: straight: people: village: many,much: neighbor: house: near,close"
,alive,,e09f,good: heart
,all,,e251,
,Allammelek,Jos 19:26,e5a9,"very: tree,plant,wood: village: many,much: neighbor: house: near,close"
,Allon,1 Chron 4:37,e700,"man: very: tree,plant,wood"
,Allon_Bakuth,Gen 35:8,efab,"Cry: sad,grieve: water,wet: tree,plant,wood"
,allow,,e04a,"mouth,said,speak,confession: king,master,ruler,lord"
,Almodad,Gen 10:26,edac,"Man: immeasurable: no,not: measure"
,Almon,Josh 21:18,e4f7,"black: color: moon,night: village: many,much: neighbor: house: near,close"
,Almon_Diblathaim,Num 33:46,e3d8,"Hide: put: hand: under: thing: .: land,ground,earth,space"
,alone,,e223,very: one
,Alphaeus,Acts 1:13,ec24,"man: work,do"
,altar,Gen 8:20,ea3c,"table: gift: hand: love,compassion"
,Alush,Num 33:13,e3d9,"Bread: mouth,said,speak,confession: grain,wheat: land,ground,earth,space"
,Alvah,Gen 36:40,efe6,"Man: lust,sensuality,sexual_desire: bad: no,not: good: eye,see"
,Alvan,Gen 36:23,efe8,"Man: very: lust,sensuality,sexual_desire: bad: no,not: good: eye,see"
,always,,e252,"all,whole: time,when"
,Amad,Jos 19:26,e59a,"very: testimony,witness: mouth,said,speak,confession: you: village: many,much: neighbor: house: near,close"
,Amal,1 Chron 7:35,e75a,"man: anger,angry: heart"
,Amalek_man,Gen 36:12,efe9,"Man: war,fight,battle: sword: tongue: mouth,said,speak,confession: clothing,fabric"
,Amam,Josh 15:26,e4d2,"mother: woman: love,compassion: village: many,much: neighbor: house: near,close"
,Amariah,Zeph 1:1,e526,"man: hei: mouth,said,speak,confession"
,Amasai,1 Chr 6:25,e661,man: heavy: weigh: hand: big: measure
,Amasiah,2 Chron 17:16,e783,man: measure
,amazed,Esth 1:1,e14a,"big: praise,exalt,dignify,worship: mouth,said,speak,confession: good"
,Amaziah,2 Kgs 12:21,e450,"man: people: knife,cut"
,ambassador,,ebfd,"Eye,see: person: mouth,said speak,confession"
,amen,,e100,"good: all,whole"
,Amittai,Jonah 1:1,e1cf,"Man: fly: love,compassion"
,Ammah,2 Sam 2:24,e6d3,"me,I: small,few: mountain"
,Ammiel,Num 13:12,e2ad,"Man: type,kind_same: part,some: same,equal"
,Ammihud,Num 1:10,e2ae,"Man: people: praise,exalt,dignify,worship: mouth,said,speak,confession: good"
,Amminadab,Matt 1:4,ea51,"man: free,freedom: no,not: chain,bound,arrest,imprisoned"
,Ammishaddai,Num 1:12,e2af,Man: very: people
,Ammon,Gen 19:38,edae,"big: people: land,ground,earth,space"
,Amnon,1 Chron 3:1,e727,"man: true,truth: good: measure: many,much"
,Amon,Matt 1:10,ea64,"man: secret,whisper: quiet,silence: no,not: mouth,said,speak,confession: ear,hear"
,Amorites,Gen 10:16,edaf,mountain: people
,Amos,Amos,ec47,man: hand: big
,Amoz,Isa 1:1,e5ca,man: staff: big: stick
